epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.473275,0.453125,0.300939,0.703125,1
2,1.396644,0.481250,0.318770,0.603125,1
3,1.300770,0.450000,0.339292,0.678125,1
4,1.226944,0.521875,0.402574,0.556250,1
5,1.190889,0.521875,0.424197,0.556250,1
6,1.131243,0.578125,0.468620,0.471875,1
7,1.132608,0.506250,0.349170,0.550000,0
8,1.101759,0.587500,0.477222,0.453125,1
9,1.087186,0.568750,0.453953,0.503125,0
10,1.069609,0.571875,0.494923,0.475000,1
11,1.051334,0.587500,0.553609,0.459375,1
12,1.048016,0.596875,0.517327,0.440625,0
13,1.017392,0.568750,0.492890,0.468750,0
14,0.998355,0.600000,0.493414,0.418750,0
15,0.983323,0.546875,0.484176,0.500000,0
16,0.986259,0.593750,0.548287,0.453125,0
17,0.964255,0.587500,0.504917,0.440625,0
18,0.959085,0.593750,0.512998,0.440625,0
19,0.969677,0.596875,0.511746,0.431250,0
20,0.920853,0.581250,0.502265,0.446875,0
21,0.912190,0.603125,0.565454,0.428125,1
22,0.904058,0.584375,0.535852,0.450000,0
23,0.899201,0.581250,0.523110,0.446875,0
24,0.885413,0.603125,0.528752,0.425000,0
25,0.869836,0.618750,0.509848,0.403125,0
26,0.875037,0.578125,0.503138,0.446875,0
27,0.865136,0.600000,0.518251,0.434375,0
28,0.845804,0.587500,0.514373,0.446875,0
29,0.835162,0.609375,0.526483,0.425000,0
30,0.838777,0.609375,0.527825,0.425000,0
31,0.855122,0.603125,0.522951,0.428125,0
