epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.589158,0.403125,0.312263,0.828125,1
2,1.532862,0.468750,0.316902,0.609375,1
3,1.477519,0.412500,0.300048,0.762500,0
4,1.423255,0.450000,0.331604,0.740625,1
5,1.385590,0.481250,0.385244,0.675000,1
6,1.327281,0.540625,0.439759,0.568750,1
7,1.310062,0.515625,0.369797,0.565625,0
8,1.279023,0.518750,0.421689,0.550000,0
9,1.259973,0.553125,0.482804,0.525000,1
10,1.239375,0.503125,0.458962,0.581250,0
11,1.208135,0.534375,0.492958,0.521875,1
12,1.222195,0.531250,0.497558,0.525000,1
13,1.193882,0.543750,0.472543,0.521875,0
14,1.199559,0.565625,0.478709,0.475000,0
15,1.175026,0.553125,0.521082,0.521875,1
16,1.172084,0.550000,0.515895,0.528125,0
17,1.150447,0.556250,0.522609,0.496875,1
18,1.147518,0.581250,0.521096,0.468750,0
19,1.163885,0.562500,0.489070,0.484375,0
20,1.129554,0.568750,0.513557,0.481250,0
21,1.131010,0.543750,0.509860,0.509375,0
22,1.124899,0.543750,0.514191,0.515625,0
23,1.092947,0.590625,0.568185,0.443750,1
24,1.092603,0.575000,0.525746,0.471875,0
25,1.083611,0.568750,0.518908,0.481250,0
26,1.076807,0.578125,0.568524,0.465625,1
27,1.070010,0.559375,0.510244,0.493750,0
28,1.085813,0.553125,0.504492,0.496875,0
29,1.059926,0.553125,0.480537,0.493750,0
30,1.066502,0.562500,0.518796,0.484375,0
31,1.064425,0.584375,0.552438,0.468750,0
32,1.067216,0.578125,0.557736,0.465625,0
33,1.086976,0.575000,0.542627,0.465625,0
34,1.025921,0.578125,0.529500,0.456250,0
35,1.063418,0.578125,0.546081,0.459375,0
36,1.049398,0.559375,0.525807,0.481250,0
