epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.340839,0.553125,0.398470,0.481250,1
2,1.157343,0.534375,0.465752,0.509375,1
3,1.046422,0.531250,0.395703,0.493750,0
4,0.960277,0.646875,0.552827,0.375000,1
5,0.939681,0.653125,0.591543,0.365625,1
6,0.880133,0.596875,0.518316,0.440625,0
7,0.856535,0.618750,0.508196,0.409375,0
8,0.813951,0.571875,0.528474,0.500000,0
9,0.786872,0.646875,0.534119,0.368750,0
10,0.765292,0.643750,0.580220,0.390625,0
11,0.723797,0.634375,0.544010,0.418750,0
12,0.701117,0.640625,0.570901,0.396875,0
13,0.672328,0.628125,0.539512,0.431250,0
14,0.660331,0.634375,0.540710,0.418750,0
15,0.609889,0.653125,0.556354,0.362500,0
