epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.353244,0.568750,0.399388,0.465625,1
2,1.156357,0.515625,0.459843,0.553125,1
3,1.050924,0.593750,0.465099,0.428125,1
4,0.960812,0.640625,0.546921,0.381250,1
5,0.939572,0.650000,0.545952,0.368750,0
6,0.887064,0.628125,0.550163,0.396875,1
7,0.854475,0.671875,0.581610,0.368750,1
8,0.808030,0.615625,0.571010,0.434375,0
9,0.785697,0.675000,0.586259,0.359375,1
10,0.746601,0.609375,0.545009,0.431250,0
11,0.700575,0.621875,0.539230,0.428125,0
12,0.683824,0.662500,0.562273,0.371875,0
13,0.673945,0.662500,0.570898,0.375000,0
14,0.636647,0.640625,0.551172,0.406250,0
15,0.592928,0.659375,0.562792,0.368750,0
16,0.629669,0.631250,0.557284,0.393750,0
17,0.584550,0.659375,0.558758,0.359375,0
18,0.577981,0.646875,0.566769,0.375000,0
19,0.578559,0.603125,0.519320,0.453125,0
