epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.509569,0.531250,0.440833,0.568750,1
2,1.299598,0.518750,0.443604,0.537500,1
3,1.194749,0.528125,0.428751,0.518750,0
4,1.110203,0.590625,0.508927,0.459375,1
5,1.085423,0.606250,0.517986,0.431250,1
6,1.053424,0.609375,0.532013,0.434375,1
7,0.996223,0.556250,0.482007,0.509375,0
8,0.960517,0.609375,0.530151,0.431250,0
9,0.936650,0.590625,0.510333,0.459375,0
10,0.913299,0.512500,0.481734,0.556250,0
11,0.893471,0.625000,0.536680,0.403125,1
12,0.863143,0.596875,0.511386,0.450000,0
13,0.852223,0.615625,0.525318,0.418750,0
14,0.837071,0.612500,0.524442,0.418750,0
15,0.797914,0.618750,0.521383,0.412500,0
16,0.788813,0.600000,0.509990,0.428125,0
17,0.775565,0.615625,0.523696,0.418750,0
18,0.746241,0.587500,0.499270,0.450000,0
19,0.745466,0.590625,0.510953,0.468750,0
20,0.712136,0.621875,0.531199,0.412500,0
21,0.732057,0.606250,0.518827,0.428125,0
