epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,2.001209,0.262500,0.128538,0.975000,1
2,1.666229,0.312500,0.149603,0.993750,1
3,1.533081,0.275000,0.130951,0.925000,0
4,1.427970,0.390625,0.197684,0.681250,1
5,1.351896,0.400000,0.283657,0.787500,1
6,1.301156,0.503125,0.341156,0.568750,1
7,1.269929,0.456250,0.285636,0.590625,0
8,1.184047,0.562500,0.447531,0.493750,1
9,1.155555,0.496875,0.324673,0.543750,0
10,1.154999,0.540625,0.446617,0.490625,0
11,1.099374,0.437500,0.395837,0.609375,0
12,1.086608,0.540625,0.439584,0.493750,0
13,1.070874,0.534375,0.436555,0.521875,0
14,1.054913,0.568750,0.509952,0.471875,1
15,1.022557,0.559375,0.444272,0.478125,0
16,0.990565,0.550000,0.468054,0.481250,0
17,0.968424,0.537500,0.439613,0.509375,0
18,0.982589,0.587500,0.524532,0.450000,1
19,0.935552,0.534375,0.450650,0.521875,0
20,0.933701,0.596875,0.519875,0.425000,0
21,0.917016,0.543750,0.444755,0.487500,0
22,0.869315,0.571875,0.531790,0.465625,1
23,0.893493,0.593750,0.502443,0.425000,0
24,0.862639,0.600000,0.515307,0.440625,0
25,0.881466,0.606250,0.516559,0.437500,0
26,0.804527,0.584375,0.501881,0.437500,0
27,0.809321,0.575000,0.490417,0.462500,0
28,0.769373,0.578125,0.483716,0.456250,0
29,0.771139,0.593750,0.509182,0.453125,0
30,0.756454,0.590625,0.505974,0.443750,0
31,0.730574,0.593750,0.498502,0.425000,0
32,0.716701,0.612500,0.487383,0.412500,0
