epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.944650,0.259375,0.108017,0.950000,1
2,1.641586,0.356250,0.189807,0.890625,1
3,1.464457,0.325000,0.182104,0.818750,0
4,1.270566,0.431250,0.268105,0.606250,1
5,1.205238,0.559375,0.527546,0.493750,1
6,1.099805,0.537500,0.371874,0.484375,0
7,1.076933,0.534375,0.400723,0.484375,0
8,0.998383,0.525000,0.386972,0.518750,0
9,0.986104,0.590625,0.482662,0.437500,0
10,0.949900,0.593750,0.533893,0.462500,1
11,0.911995,0.559375,0.517874,0.500000,0
12,0.890726,0.653125,0.530747,0.375000,0
13,0.869915,0.600000,0.522915,0.453125,0
14,0.848282,0.625000,0.588452,0.425000,1
15,0.805526,0.587500,0.493200,0.428125,0
16,0.780908,0.609375,0.515162,0.406250,0
17,0.781013,0.625000,0.531708,0.406250,0
18,0.772256,0.628125,0.545726,0.403125,0
19,0.729228,0.634375,0.598339,0.396875,1
20,0.711838,0.618750,0.576471,0.396875,0
21,0.703128,0.625000,0.545886,0.390625,0
22,0.678696,0.643750,0.610023,0.393750,1
23,0.675658,0.625000,0.544700,0.425000,0
24,0.683342,0.603125,0.519437,0.425000,0
25,0.664193,0.606250,0.529524,0.421875,0
26,0.596379,0.634375,0.554630,0.406250,0
27,0.622127,0.637500,0.598503,0.409375,0
28,0.568119,0.643750,0.591895,0.387500,0
29,0.581880,0.606250,0.567693,0.434375,0
30,0.582582,0.646875,0.620316,0.381250,1
31,0.581577,0.659375,0.634475,0.371875,1
32,0.529593,0.650000,0.564327,0.390625,0
33,0.516965,0.646875,0.567631,0.393750,0
34,0.521846,0.625000,0.526521,0.400000,0
35,0.521163,0.637500,0.550967,0.403125,0
36,0.496341,0.650000,0.586473,0.390625,0
37,0.487795,0.662500,0.566552,0.381250,0
38,0.486344,0.653125,0.563777,0.387500,0
39,0.455745,0.631250,0.545189,0.393750,0
40,0.449825,0.640625,0.550182,0.381250,0
41,0.443826,0.637500,0.575155,0.393750,0
