epoch,train_loss,val_accuracy,val_macro_f1,val_mae,best
1,1.881284,0.375000,0.298005,0.718750,1
2,1.450035,0.540625,0.405387,0.512500,1
3,1.276492,0.500000,0.470130,0.587500,1
4,1.261395,0.534375,0.377510,0.512500,0
5,1.124021,0.581250,0.536558,0.453125,1
6,1.108933,0.562500,0.459408,0.453125,0
7,1.068173,0.584375,0.545123,0.456250,1
8,1.008946,0.490625,0.398182,0.600000,0
9,1.056157,0.600000,0.518352,0.443750,0
10,0.926741,0.593750,0.500841,0.471875,0
11,0.941212,0.553125,0.515485,0.493750,0
12,0.863828,0.631250,0.548754,0.403125,1
13,0.839536,0.615625,0.565778,0.434375,1
14,0.816512,0.590625,0.543114,0.446875,0
15,0.748913,0.628125,0.558792,0.403125,0
16,0.738467,0.618750,0.570395,0.409375,1
17,0.740340,0.621875,0.539275,0.428125,0
18,0.712807,0.643750,0.595954,0.387500,1
19,0.682151,0.621875,0.575695,0.409375,0
20,0.676907,0.643750,0.582256,0.375000,0
21,0.655324,0.637500,0.572266,0.387500,0
22,0.632365,0.646875,0.594293,0.396875,0
23,0.639914,0.625000,0.579166,0.425000,0
24,0.662822,0.631250,0.559934,0.415625,0
25,0.612584,0.656250,0.590682,0.381250,0
26,0.587247,0.656250,0.585488,0.387500,0
27,0.556137,0.662500,0.613554,0.365625,1
28,0.540983,0.634375,0.575347,0.406250,0
29,0.552999,0.634375,0.587996,0.396875,0
30,0.554407,0.659375,0.599524,0.362500,0
31,0.532649,0.650000,0.573351,0.384375,0
32,0.517556,0.634375,0.564393,0.406250,0
33,0.508887,0.650000,0.580394,0.390625,0
34,0.499711,0.612500,0.562456,0.425000,0
35,0.500783,0.640625,0.577203,0.393750,0
36,0.495680,0.631250,0.573394,0.406250,0
37,0.473556,0.621875,0.548967,0.415625,0
